nous,40,0.000494805
чего,40,0.000494805
которой,40,0.000494805
двери,39,0.000482434
мила,39,0.000482434
несколько,39,0.000482434
пор,39,0.000482434
Долохов,39,0.000482434
вс,39,0.000482434
Марь,39,0.000482434
разговор,39,0.000482434
делать,38,0.000470064
s,38,0.000470064
одна,38,0.000470064
n,38,0.000470064
своих,38,0.000470064
тех,38,0.000470064
котора,38,0.000470064
Бонапарте,38,0.000470064
знает,37,0.000457694
нужно,37,0.000457694
особенно,37,0.000457694
хотел,37,0.000457694
глазами,37,0.000457694
никогда,37,0.000457694
больше,37,0.000457694
qui,36,0.000445324
подошел,36,0.000445324
Так,36,0.000445324
теб,36,0.000445324
два,36,0.000445324
Je,36,0.000445324
нам,36,0.000445324
улыбкой,36,0.000445324
даже,36,0.000445324
солдат,36,0.000445324
р,36,0.000445324
несмотр,36,0.000445324
une,36,0.000445324
генерал,35,0.000432954
обраща,35,0.000432954
этих,35,0.000432954
тоже,35,0.000432954
d,35,0.000432954
ce,34,0.000420584
ch,34,0.000420584
смотрел,34,0.000420584
можно,34,0.000420584
plus,34,0.000420584
знаете,34,0.000420584
Бог,34,0.000420584
если,34,0.000420584
Л,34,0.000420584
Пьеру,34,0.000420584
много,33,0.000408214
уж,33,0.000408214
Болконский,33,0.000408214
назад,33,0.000408214
Сон,33,0.000408214
романа,33,0.000408214
глаз,33,0.000408214
дом,33,0.000408214
en,33,0.000408214
стал,33,0.000408214
du,32,0.000395844
зю,32,0.000395844
котором,32,0.000395844
состо,32,0.000395844
отца,32,0.000395844
обратилс,32,0.000395844
минуту,32,0.000395844
вперед,32,0.000395844
командир,32,0.000395844
которых,32,0.000395844
сказать,32,0.000395844
одно,32,0.000395844
комнату,32,0.000395844
молодой,32,0.000395844
всю,31,0.000383474
нул,31,0.000383474
ту,31,0.000383474
Николай,31,0.000383474
тут,31,0.000383474
дыва,31,0.000383474
Ежели,31,0.000383474
г,31,0.000383474
совсем,31,0.000383474
ваше,31,0.000383474
прежде,31,0.000383474
потом,31,0.000383474
письмо,30,0.000371103
нему,30,0.000371103
одного,30,0.000371103
дела,30,0.000371103
дверь,30,0.000371103
Ростова,30,0.000371103
подн,30,0.000371103
закричал,30,0.000371103
вместе,30,0.000371103
сидел,30,0.000371103
почти,30,0.000371103
Билибин,30,0.000371103
qu,30,0.000371103
ma,29,0.000358733
хот,29,0.000358733
эта,29,0.000358733
